Borough,May19,Oct20,% change
Bronx,76432.0,47942.0,37.27496336612937
Brooklyn,182697.6666666667,110619.0,39.452428693670605
Manhattan,547112.6666666666,152001.0,72.21760539267353
Queens,167554.99999999997,102803.0,38.64522097221807
Staten Island,7647.999999999999,2794.0,63.46757322175732
